ts,hermes_price,hermes_conf,lazer_price,lazer_conf,lazer_bid,lazer_ask,deviation_abs,deviation_pct,lazer_spread,lazer_price_step,lazer_stuck
2026-04-08 08:16:22+00:00,138.355900,8.355890,130.002130,10.002130,120.000000,138.500000,-8.353770,-6.037885,18.500000,0.000530,True
2026-04-08 08:16:23+00:00,138.355900,8.355890,130.002000,10.002000,120.000000,138.500000,-8.353900,-6.037979,18.500000,0.000130,True
2026-04-08 08:16:24+00:00,138.355900,8.355890,130.002130,10.002130,120.000000,138.500000,-8.353770,-6.037885,18.500000,0.000130,True
2026-04-08 08:16:25+00:00,138.355900,8.355890,130.001600,10.001600,120.000000,138.500000,-8.354300,-6.038268,18.500000,0.000530,True
2026-04-08 08:16:26+00:00,138.358530,8.358520,130.002000,10.002000,120.000000,138.500000,-8.356530,-6.039765,18.500000,0.000400,True
2026-04-08 08:16:27+00:00,138.358530,8.358520,130.001600,10.001600,120.000000,138.500000,-8.356930,-6.040054,18.500000,0.000400,True
2026-04-08 08:16:28+00:00,138.358530,8.358520,130.002260,10.002260,120.000000,138.500000,-8.356270,-6.039577,18.500000,0.000660,True
2026-04-08 08:16:29+00:00,138.358530,8.358520,130.001860,10.001860,120.000000,138.500000,-8.356670,-6.039866,18.500000,0.000400,True
2026-04-08 08:16:30+00:00,138.358530,8.358520,130.001600,10.001600,120.000000,138.500000,-8.356930,-6.040054,18.500000,0.000260,True
2026-04-08 08:16:31+00:00,138.358530,8.358520,130.001730,10.001730,120.000000,138.500000,-8.356800,-6.039960,18.500000,0.000130,True
2026-04-08 08:16:32+00:00,138.358530,8.358520,130.002130,10.002130,120.000000,138.500000,-8.356400,-6.039671,18.500000,0.000400,True
2026-04-08 08:16:33+00:00,138.358530,8.358520,130.001470,10.001470,120.000000,138.500000,-8.357060,-6.040148,18.500000,0.000660,True
2026-04-08 08:16:34+00:00,138.358530,8.358520,130.001470,10.001470,120.000000,138.500000,-8.357060,-6.040148,18.500000,0.000000,True
2026-04-08 08:16:35+00:00,138.358530,8.358520,130.002000,10.002000,120.000000,138.500000,-8.356530,-6.039765,18.500000,0.000530,True
2026-04-08 08:16:36+00:00,138.358530,8.358520,130.001730,10.001730,120.000000,138.500000,-8.356800,-6.039960,18.500000,0.000270,True
2026-04-08 08:16:37+00:00,138.357380,8.357370,130.002000,10.002000,120.000000,138.500000,-8.355380,-6.038984,18.500000,0.000270,True
2026-04-08 08:16:38+00:00,138.357380,8.357370,130.002000,10.002000,120.000000,138.500000,-8.355380,-6.038984,18.500000,0.000000,True
2026-04-08 08:16:39+00:00,138.357380,8.357370,130.002000,10.002000,120.000000,138.500000,-8.355380,-6.038984,18.500000,0.000000,True
2026-04-08 08:16:40+00:00,138.357380,8.357370,130.001860,10.001860,120.000000,138.500000,-8.355520,-6.039085,18.500000,0.000140,True
2026-04-08 08:16:41+00:00,138.357380,8.357370,130.001730,10.001730,120.000000,138.500000,-8.355650,-6.039179,18.500000,0.000130,True
2026-04-08 08:16:42+00:00,138.357380,8.357370,130.002260,10.002260,120.000000,138.500000,-8.355120,-6.038796,18.500000,0.000530,True
